stck_oprc,stck_hgpr,stck_lwpr,stck_prpr,cntg_vol
100480.0,100480.0,100480.0,100480.0,0
100490.0,100490.0,100490.0,100490.0,0
100490.0,100490.0,100490.0,100490.0,2
100490.0,100490.0,100490.0,100490.0,49
100490.0,100490.0,100490.0,100490.0,42
100490.0,100490.0,100490.0,100490.0,40
100490.0,100490.0,100485.0,100485.0,95
100485.0,100485.0,100485.0,100485.0,10
100485.0,100485.0,100485.0,100485.0,55
100490.0,100490.0,100490.0,100490.0,0
100495.0,100495.0,100495.0,100495.0,59
100495.0,100495.0,100495.0,100495.0,0
100495.0,100495.0,100495.0,100495.0,0
100495.0,100495.0,100495.0,100495.0,398
100500.0,100500.0,100500.0,100500.0,0
100500.0,100500.0,100500.0,100500.0,13
100500.0,100500.0,100500.0,100500.0,13
100500.0,100500.0,100500.0,100500.0,136
100505.0,100505.0,100505.0,100505.0,3000
100500.0,100505.0,100500.0,100505.0,207
100505.0,100505.0,100505.0,100505.0,0
100505.0,100505.0,100505.0,100505.0,1
100505.0,100505.0,100505.0,100505.0,0
100500.0,100500.0,100500.0,100500.0,1
100510.0,100510.0,100510.0,100510.0,0
100510.0,100510.0,100510.0,100510.0,0
